Image file,Title,Description,Destination link,Board,Alt text
"pins/sideshow-1_8-sideshow-posters.jpg","8 Printable Vintage Halloween Posters (Victorian Sideshow)","Turn your walls into a Victorian sideshow. Eight printable carnival broadsides in burgundy and ink — the Hollow Man, Madame Vesper, the Hall of Mirrors. Print at home tonight, frame them by morning. A4 and US Letter both included. Instant download.","https://certifiedhooper.netlify.app/halloween/p/sideshow.html","Vintage Halloween Decor","8 Printable Vintage Halloween Posters (Victorian Sideshow) — printable, instant download"
"pins/sideshow-2_he-casts-no-shadow.jpg","Victorian Sideshow Poster Set — Gothic Halloween Wall Art","Vintage Halloween wall art that isn't orange plastic. Eight sideshow posters set like real 19th-century playbills, in burgundy, plum and ink. Instant download, print at home, A4 + US Letter.","https://certifiedhooper.netlify.app/halloween/p/sideshow.html","Vintage Halloween Decor","Victorian Sideshow Poster Set — Gothic Halloween Wall Art — printable, instant download"
"pins/sideshow-3_a-quieter-halloween.jpg","Vintage Halloween Decor Printables — Burgundy & Antique Gold","A quieter Halloween: burgundy, plum and antique gold instead of orange and black. Letterpress-style printable posters you print at home. Instant download.","https://certifiedhooper.netlify.app/halloween/p/sideshow.html","Vintage Halloween Decor","Vintage Halloween Decor Printables — Burgundy & Antique Gold — printable, instant download"
"pins/poison-1_30-poison-jar-labels.jpg","30 Printable Poison Bottle Labels — Vintage Apothecary Jars","Thirty printable apothecary labels for the shelf you don't let guests near. Real botanicals with real Latin names and dosing notes that are none of your business. Fits standard jars. Instant download, A4 + US Letter.","https://certifiedhooper.netlify.app/halloween/p/poison.html","Witch Kitchen & Apothecary","30 Printable Poison Bottle Labels — Vintage Apothecary Jars — printable, instant download"
"pins/poison-2_belladonna-hemlock-wolfsbane.jpg","Witch Kitchen Jar Labels Printable — Poison Apothecary Set","Turn any jar into something out of the poison cabinet. Thirty vintage apothecary labels — belladonna, hemlock, wolfsbane, mandrake root. Print, cut, stick. Instant download.","https://certifiedhooper.netlify.app/halloween/p/poison.html","Witch Kitchen & Apothecary","Witch Kitchen Jar Labels Printable — Poison Apothecary Set — printable, instant download"
"pins/poison-3_two-drops-no-more.jpg","Halloween Potion Labels Printable — Gothic Apothecary Decor","Gothic apothecary labels with the detail most printables skip: real Latin binomials and proper dosing notes. Three alternating designs across thirty labels. Instant download.","https://certifiedhooper.netlify.app/halloween/p/poison.html","Witch Kitchen & Apothecary","Halloween Potion Labels Printable — Gothic Apothecary Decor — printable, instant download"
"pins/party-1_haunted-carnival-party-kit.jpg","Printable Halloween Party Kit — Vintage Haunted Carnival Decor","A whole Halloween party in one file: invitations, a banner that spells HAUNTED CARNIVAL, four photo-booth signs, table tents and a drinks menu with seven cocktails already written. Print tonight, host tomorrow. Instant download.","https://certifiedhooper.netlify.app/halloween/p/party.html","Halloween Party Ideas","Printable Halloween Party Kit — Vintage Haunted Carnival Decor — printable, instant download"
"pins/party-2_a-party-in-one-file.jpg","Halloween Party Decorations Printable — Invitation, Banner, Signs","Everything the room needs in one download — and nothing to post, so there's no shipping cut-off to miss. Invitations, banner, photo-booth signs, table tents, menu. Instant download, A4 + US Letter.","https://certifiedhooper.netlify.app/halloween/p/party.html","Printables to Print Tonight","Halloween Party Decorations Printable — Invitation, Banner, Signs — printable, instant download"
"pins/party-3_step-right-up.jpg","Vintage Circus Halloween Party Printables — Banner & Signs","Step right up. Eight sheets of vintage carnival party decor — pennant banner, photo-booth signs, table tents, invitations and a drinks menu. Instant download.","https://certifiedhooper.netlify.app/halloween/p/party.html","Halloween Party Ideas","Vintage Circus Halloween Party Printables — Banner & Signs — printable, instant download"
"pins/tickets-1_40-tickets-tags-and-tokens.jpg","Printable Vintage Carnival Tickets — 40 Tags, Stubs & Tokens","Forty printable pieces: twelve numbered admission stubs with tear-off spines, twelve punch-hole gift tags and sixteen ride tokens. The detail that makes a party look planned. Instant download.","https://certifiedhooper.netlify.app/halloween/p/tickets.html","Halloween Party Ideas","Printable Vintage Carnival Tickets — 40 Tags, Stubs & Tokens — printable, instant download"
